"Shipping information","Thông tin giao hàng"
"Recipient Name","Tên Người Nhận"
"Delivery Address","Địa Chỉ Giao Hàng"
"Recipient Phone","Điện Thoại Người Nhận"
"Client Order Code","Mã Đơn Hàng"
"Order Code","Mã Giao Hàng"
"COD Amount","Tiền Thu Hộ"
"Content Note","Ghi chú"
"Delivery District","Quận/Huyện Giao Hàng"
"Service","Dịch Vụ"
"Pick Hub","Kho Hàng"
"Weight","Trọng Lượng"
"Length","Chiều Dài"
"Width","Chiều Rộng"
"Height","Chiều Cao"
"Estimated Fee","Chi Phí Ước Tính"
"Fee","Chi Phí"
"Expected Delivery Time","Thời Gian Dự Kiến Giao Hàng"
"Created Time","Thời Gian Tạo"
"Updated Time","Thời Gian Cập Nhật"
"Status","Trạng Thái"
"Return Information","Lý Do Trả Hàng"
"Start Return Time","Thời Gian Bắt Đầu Trả Hàng"
"Save","Lưu"
"Cancel","Hủy giao hàng"
"Save and continue","Lưu và tiếp tục"
"Save and create order","Lưu và tạo giao hàng"
"Edit shipping ","Chỉnh sửa đơn hàng"
"Edit shipping '%s'","Chỉnh sửa đơn hàng '%s'"
"Add shipping","Thêm đơn hàng"
"ID","ID"
"Action","Thao Tác"
"Edit","Chỉnh Sửa"
"CSV","CSV"
"XML","XML"
"Shipping Manager","Quản Lý Giao Hàng"
"Select Pick Hub","Chọn Kho Hàng"
"Select pickhub","Chọn Kho Hàng"
"There is no Pick Hub","Kho Hàng Không Có"
"Select Service","Chọn Dịch Vụ"
"Select service","Chọn Dịch Vụ"
"There is no service. Please check city again!","Không có dịch vụ nào. Hãy kiểm tra lại địa chỉ (Quận/Huyện)!"
"Error: %s","Lỗi: %s"
"Shipping Order %s was successfully created","Đơn hàng %s đã được tạo"
"Cannot cancel the %s Shipping Order!","Không thể huy đơn hàng %s!"
"Waiting to Create","Chờ tạo giao hàng"
"Ready To Pick","Chờ lấy hàng"
"Picking","Đang lấy hàng"
"Storing","Lưu kho"
"Delivering","Đang giao hàng"
"Delivered","Đã giao hàng"
"waiting for finishing","Chờ thanh toán"
"Finish","Kết thúc đơn hàng"
"Return","Đơn hàng được trả lại"
"6 hours","Gói 6 giờ"
"one day","Gói 1 ngày"
"2 days","Gói 2 ngày"
"3 days","Gói 3 ngày"
"4 days","Gói 4 ngày"
"5 days","Gói 5 ngày"
"6 days","Gói 6 ngày"
"Prime","Gói prime"
"Edit shipping","Sửa đơn hàng"
"The shipping does not exist!","Đơn hàng không tồn tại!"
"The shipping was successfully saved.","Đơn hàng đã được lưu."
"Unable to find shiping to save.","Không tìm thấy đơn hàng."
"The shipping was successfully canceled.","Đơn hàng đã được hủy."
"The shipping was successfully deleted.","Đơn hàng đã được xóa."
"Please choose a Pick Hub!","Hãy chọn kho hàng!"
"Please choose the city!","Hãy chọn Quận/Huyện!"
"Giao Hang Nhanh","Giao Hàng Nhanh"
"Settings","Cấu Hình"
"Allow Everything","Allow Everything"
"Magestore Extension","Magestore Extension"
"Enabled","Kích Hoạt"
"Title","Tiêu Đề"
"Method Name","Tên Phương Thức"
"Client Id","Client Id"
"Password","Mật Khẩu"
"Api Key","Api Key"
"Api Secret Key","Api Secret Key"
"Api Url","Api Url"
"Shipping Fee Default","Phí Mặc Định"
"Sort Order","Vị Trí Sắp Xếp"
"Export to:","Xuất thành:"

